word_english,translation_portuguese,sentence_english,sentence_portuguese,date
Unwrap,Desembrulhar,I'll unwrap the present.,Vou desembrulhar o presente.,2026-01-22
Caretaker,Zelador,The building's caretaker became a hero when he rescued his neighbor's cat stuck in the elevator and even fixed the hallway light.,O zelador do prédio virou herói quando resgatou o gato da vizinha preso no elevador e ainda consertou a luz do corredor.,2026-01-22
Follow,Seguinte,"The following day, we started the project with a quick meeting.","No dia seguinte, começamos o projeto com uma reunião rápida.",2026-01-22
Proof,Comprovativo,Keep the proof of payment to show at the front desk.,Guarde o comprovativo (no Brasil: comprovante) do pagamento para apresentar na recepção.,2026-01-22
Freckles,Sardas,She has freckles on her nose and looks beautiful in photos.,Ela tem sardas no nariz e fica linda nas fotos.,2026-01-22
Finish,Remate,"At the finish of the project, we made the final design tweaks.","No remate do projeto, fizemos os últimos ajustes de design.",2026-01-22
To receive,Receber,I will receive my salary tomorrow.,Vou receber meu salário amanhã.,2026-01-22
Package,Pacote,"The package arrived dented, but the product was intact.","O pacote chegou amassado, mas o produto estava intacto.",2026-01-22
Order,Encomenda,My order was shipped and should arrive by Friday.,Minha encomenda foi enviada e deve chegar até sexta.,2026-01-22
Weighting scale,Balança,I put the backpack on the airport scale to check the weight.,Coloquei a mochila na balança do aeroporto para conferir o peso.,2026-01-22
Delivery date,Data de entrega,The expected delivery date of your order is October 12.,A data de entrega prevista da sua encomenda é 12 de outubro.,2026-01-22
Dishcloth,Pano de prato,I used a clean dish towel to dry the glasses.,Pano de prato: Usei um pano de prato limpo para secar os copos.,2026-01-22
Underwear,Roupa de baixo,I used a clean dish towel to dry the glasses.,Roupa de baixo: Não esqueça de levar roupa de baixo extra para a viagem.,2026-01-22
Nail scissors,Tesoura de unhas,I used nail scissors to trim a broken tip without cutting myself.,Usei a tesoura de unhas para aparar uma pontinha quebrada sem me cortar.,2026-01-22
Large black belt,Cinto largo preto,I tightened the large black belt to fit the pants.,Cinto largo preto: Apertei o cinto largo preto para ajustar a calça.,2026-01-22
Blue suit,Fato azul,He is going to the wedding wearing an elegant blue suit.,Ele vai ao casamento usando um fato azul elegante.,2026-01-22
Blue jacket,Jaqueta azul,My blue jacket is lightweight and windproof.,Minha jaqueta azul é leve e à prova de vento.,2026-01-22
Survey,Levantamento,The card can only be withdrawn upon presentation of the holder's identification document or a copy accompanied by this proof.,O levantamento do cartao apenas pode ser efetuado mediante a apresentacao do documento de identificacao do titular ou copia acompanhado do presente comprovativo.,2026-01-22
Cotton,Algodão,I used cotton to clean the wound before putting on the bandage.,Usei algodão para limpar o ferimento antes de colocar o curativo.,2026-01-22
Groceries,Compras de supermercado,<div>I need to do the groceries tonight for the week.<br>,Preciso fazer as compras de supermercado hoje à noite para a semana.,2026-01-22
Groceries (more formal),Mantimentos,"I need to restock the household provisions, like rice, beans, coffee, and oil.","Preciso repor os mantimentos de casa, como arroz, feijão, café e óleo.",2026-01-22
Cereal box,Caixa de cereal,The cereal box is almost empty; I’ll buy another one of cornflakes.,A caixa de cereal está quase vazia; vou comprar outra de flocos de milho.,2026-01-22
Coffee jar,Pote para café,I keep the coffee in a coffee jar on the counter for everyday use.,Deixo o café em um pote para café sobre a bancada para usar no dia a dia.,2026-01-22
Drink coasters,Bolacha de chope,I grabbed a beer coaster so the cold glass wouldn’t wet the table.,Peguei uma bolacha de chope para não molhar a mesa com o copo gelado.,2026-01-22
Phantom,Fantasma,He saw a ghost in the old house.,Ele viu um fantasma na casa antiga.,2026-01-22
unwrap,desembrulhar,I’ll unwrap the present.,Vou desembrulhar o presente.,2026-01-22
deny,negar,"He denied having attended the meeting, but the attendance record proved otherwise.","Ele negou ter participado da reunião, mas o registro de presença provou o contrário.",2026-01-22
grave,túmulo,We left flowers on my grandparents’ grave on All Souls’ Day.,Deixamos flores no túmulo dos meus avós no Dia de Finados.,2026-01-22
prevent,Impedir,Heavy rain prevented the flight from taking off.,A chuva forte impediu o voo de decolar.,2026-01-22
funds,Empecilho,The lack of funds is an obstacle to the project.,A falta de verba é um empecilho para o projeto.,2026-01-22
Ghost,Fantasma,He saw a ghost in the old house.,Ele viu um fantasma na casa antiga.,2026-01-22
window,janela,I opened the window to air the room after cooking.,Abri a janela para arejar a sala depois de cozinhar.,2026-01-22
mobile phone,telemóvel,I forgot my mobile phone at home and went back to get it before work.,Esqueci-me do telemóvel em casa e voltei a buscá-lo antes do trabalho.,2026-01-22
schedule,marcar,We need to schedule a meeting to align the plan for the next weeks.,Precisamos de marcar uma reunião para alinhar o plano das próximas semanas.,2026-01-22
invoice,fatura,The invoice for the purchase arrived by email and I need to pay it.,A fatura da compra chegou por e-mail e eu preciso pagá-la.,2026-01-22
reed,palha,The reed is an important part of the wind instrument.,A palha é uma parte importante do instrumento de sopro.,2026-01-22
mouthpiece,boquilha,The mouthpiece is where we place our lips to play the instrument.,A boquilha é onde colocamos os lábios para tocar o instrumento.,2026-01-22
improvisation,improvisação,Improvisation is an essential skill for many musicians.,A improvisação é uma habilidade essencial para muitos músicos.,2026-01-22
deadline,prazo,The deadline to submit the project is next Friday.,O prazo para entregar o projeto é na próxima sexta-feira.,2026-01-22
paperclip,clipe de papel,Use a paperclip to keep the documents together.,Use um clipe de papel para manter os documentos juntos.,2026-01-22
stapler,grampeador,"The stapler is on the table, next to the computer.","O grampeador está na mesa, ao lado do computador.",2026-01-22
hedgehog,ouriço,The hedgehog is a small animal that lives in gardens.,O ouriço é um animal pequeno que vive em jardins.,2026-01-22
feedback,feedback,The feedback I received was very helpful to improve my work.,O feedback que recebi foi muito útil para melhorar o meu trabalho.,2026-01-22
swearing,palavrões,"Avoid swearing in public, it's disrespectful.","Evita usar palavrões em público, é falta de respeito.",2026-01-22
control,controlo,It is important to have control over your emotions in difficult situations.,É importante ter controlo sobre as suas emoções em situações difíceis.,2026-01-22
